date, pm25, pm10, o3, no2, so2, co
2024/12/10, 66, 14, , 10, , 
2024/12/11, 35, 23, , 11, , 
2024/12/12, 56, 19, , 11, , 
2024/12/13, 57, 16, , 17, , 
2024/12/14, 40, 9, , 10, , 
2024/12/15, 16, 17, , 19, , 
2024/12/16, 28, 26, , 20, , 
2024/12/17, 52, 25, , 29, , 
2024/12/18, 40, 24, , 23, , 
2024/12/19, 43, 11, , 19, , 
2024/12/20, 22, 8, , 14, , 
2024/12/21, 7, 5, , 9, , 
2024/12/22, 9, 12, , 18, , 
2024/12/23, 14, 15, , 17, , 
2024/12/24, 38, 16, , 16, , 
2024/12/25, 35, 19, , 11, , 
2024/12/26, 60, 25, , 17, , 
2024/12/27, 71, 32, , 20, , 
2024/12/28, 83, 29, , 20, , 
2024/12/29, 79, , , , , 
2024/7/1, 25, 14, , 20, , 
2024/7/2, 29, 10, , 20, , 
2024/7/3, 21, 9, , 19, , 
2024/7/4, 18, 12, , 20, , 
2024/7/5, 25, 15, , 18, , 
2024/7/6, 41, 8, , 8, , 
2024/7/7, 15, 10, , 9, , 
2024/7/8, 25, 18, , 13, , 
2024/7/9, 52, 22, , 23, , 
2024/7/10, 59, 18, , 21, , 
2024/7/11, 45, 12, , 17, , 
2024/7/12, 32, 9, , 18, , 
2024/7/13, 20, 11, , 16, , 
2024/7/14, 30, 15, , 15, , 
2024/7/15, 40, 14, , 23, , 
2024/7/16, 38, 12, , 19, , 
2024/7/17, 26, 16, , 14, , 
2024/7/18, 42, 24, , 28, , 
2024/7/19, 58, 19, , 19, , 
2024/7/20, 56, 17, , 17, , 
2024/7/21, 53, 12, , 22, , 
2024/7/22, 32, 12, , 23, , 
2024/7/23, 29, 13, , 20, , 
2024/7/24, 26, 12, , 21, , 
2024/7/25, 30, 20, , 28, , 
2024/7/26, 47, 22, , 23, , 
2024/7/27, 52, 12, , 14, , 
2024/7/28, 33, 12, , 18, , 
2024/7/29, 37, 20, , 19, , 
2024/7/30, 47, 38, , 26, , 
2024/7/31, 53, 22, , 23, , 
2024/8/1, 36, 23, , 20, , 
2024/8/2, 42, 16, , 19, , 
2024/8/3, 38, 15, , 14, , 
2024/8/4, 40, 14, , 21, , 
2024/8/5, 29, 16, , 16, , 
2024/8/6, 43, 18, , 24, , 
2024/8/7, 43, 15, , 23, , 
2024/8/8, 36, 16, , 24, , 
2024/8/9, 36, 16, , 21, , 
2024/8/10, 38, 20, , 15, , 
2024/8/11, 49, 19, , 22, , 
2024/8/12, 49, 17, , 15, , 
2024/8/13, 45, 13, , 21, , 
2024/8/14, 31, 12, , 10, , 
2024/8/18, 20, 6, , 16, , 
2024/8/19, 15, 8, , 11, , 
2024/8/21, 18, 14, , 15, , 
2024/8/22, 42, 17, , 21, , 
2024/8/23, 54, 22, , 17, , 
2024/8/24, 52, 13, , 15, , 
2024/8/25, 34, 9, , 13, , 
2024/8/26, 19, 14, , 10, , 
2024/8/30, 55, 26, , 16, , 
2024/8/31, 62, 22, , 9, , 
2024/9/1, 62, 15, , 19, , 
2024/9/2, 37, 15, , 23, , 
2024/9/3, 44, 22, , 22, , 
2024/9/4, 46, 14, , 10, , 
2024/9/5, 45, 12, , 18, , 
2024/9/6, 27, 17, , 15, , 
2024/9/7, 44, 20, , 21, , 
2024/9/8, 53, 6, , 19, , 
2024/9/9, 14, 7, , 18, , 
2024/9/10, 17, 11, , 18, , 
2024/9/11, 26, 5, , 18, , 
2024/9/12, 10, 11, , 19, , 
2024/9/13, 32, 6, , 16, , 
2024/9/14, 19, 9, , 15, , 
2024/9/15, 27, 9, , 20, , 
2024/9/16, 27, 8, , 12, , 
2024/9/17, 23, 18, , 7, , 
2024/9/18, 43, 21, , 8, , 
2024/9/19, 52, 19, , 11, , 
2024/9/20, 52, 21, , 19, , 
2024/9/21, 56, 22, , 19, , 
2024/9/22, 57, 19, , 19, , 
2024/9/23, 50, 8, , 21, , 
2024/9/24, 20, 9, , 19, , 
2024/9/25, 18, 11, , 22, , 
2024/9/26, 29, 8, , 22, , 
2024/9/27, 17, 7, , 18, , 
2024/9/28, 15, 8, , 10, , 
2024/9/29, 21, 11, , 15, , 
2024/9/30, 31, 13, , 22, , 
2024/4/1, 5, 10, , 17, , 
2024/4/2, 12, 14, , 22, , 
2024/4/3, 23, 11, , 20, , 
2024/4/4, 18, 14, , 25, , 
2024/4/5, 25, 22, , 37, , 
2024/4/6, 44, 25, , 23, , 
2024/4/7, 36, 54, , 29, , 
2024/4/8, 82, 36, , 27, , 
2024/4/9, 53, 13, , 21, , 
2024/4/10, 27, 26, , 23, , 
2024/4/11, 57, 30, , 28, , 
2024/4/12, 58, 27, , 47, , 
2024/4/15, 41, 9, , 19, , 
2024/4/16, 18, 10, , 24, , 
2024/4/17, 25, 11, , 25, , 
2024/4/18, 27, 9, , 19, , 
2024/4/19, 20, 7, , 17, , 
2024/4/20, 13, 9, , 20, , 
2024/4/21, 20, 9, , 13, , 
2024/4/22, 23, 16, , 16, , 
2024/4/23, 50, 21, , 24, , 
2024/4/24, 44, 15, , 27, , 
2024/4/25, 23, 17, , 27, , 
2024/4/26, 27, 15, , 24, , 
2024/4/27, 30, 16, , 24, , 
2024/4/28, 30, 24, , 23, , 
2024/4/29, 34, 45, , 33, , 
2024/4/30, 59, 28, , 16, , 
2024/5/1, 51, 16, , 24, , 
2024/5/2, 29, 17, , 23, , 
2024/5/3, 29, 12, , 11, , 
2024/5/4, 28, 12, , 20, , 
2024/5/5, 24, 16, , 23, , 
2024/5/6, 27, 15, , 21, , 
2024/5/7, 27, 22, , 18, , 
2024/5/8, 50, 12, , 12, , 
2024/5/9, 40, 18, , 21, , 
2024/5/10, 48, 20, , 19, , 
2024/5/11, 48, 15, , 15, , 
2024/5/12, 39, 21, , 24, , 
2024/5/13, 50, 14, , 12, , 
2024/5/14, 32, 14, , 18, , 
2024/5/15, 28, 13, , 18, , 
2024/5/16, 27, 11, , 20, , 
2024/5/17, 20, 12, , 18, , 
2024/5/18, 25, 12, , 19, , 
2024/5/19, 26, 9, , 11, , 
2024/5/20, 19, 11, , 21, , 
2024/5/21, 29, 9, , 24, , 
2024/5/22, 19, 10, , 20, , 
2024/5/23, 21, 9, , 23, , 
2024/5/24, 18, 8, , 20, , 
2024/5/25, 19, 9, , 13, , 
2024/5/26, 25, 13, , 18, , 
2024/5/27, 36, 12, , 22, , 
2024/5/28, 26, 13, , 24, , 
2024/5/29, 27, 10, , 15, , 
2024/5/30, 19, 7, , 20, , 
2024/5/31, 11, 5, , 15, , 
2024/6/1, 9, 9, , 17, , 
2024/6/2, 27, 21, , 20, , 
2024/6/3, 45, 14, , 19, , 
2024/6/4, 33, 16, , 25, , 
2024/6/5, 40, 18, , 27, , 
2024/6/6, 49, 17, , 26, , 
2024/6/7, 44, 19, , 22, , 
2024/6/8, 44, 14, , 17, , 
2024/6/9, 30, 14, , 24, , 
2024/6/10, 37, 8, , 21, , 
2024/6/11, 20, 10, , 12, , 
2024/6/12, 22, 14, , 24, , 
2024/6/13, 37, 15, , 22, , 
2024/6/14, 37, 12, , 18, , 
2024/6/15, 31, 9, , 13, , 
2024/6/16, 20, 12, , 21, , 
2024/6/17, 31, 14, , 13, , 
2024/6/18, 39, 22, , 22, , 
2024/6/19, 53, 26, , 14, , 
2024/6/20, 57, 25, , 18, , 
2024/6/21, 41, 9, , 16, , 
2024/6/22, 19, 8, , 10, , 
2024/6/23, 24, 14, , 10, , 
2024/6/24, 44, 14, , 8, , 
2024/6/25, 42, 18, , 25, , 
2024/6/26, 39, 16, , 27, , 
2024/6/27, 39, 18, , 29, , 
2024/6/28, 47, 28, , 16, , 
2024/6/29, 61, 24, , 17, , 
2024/6/30, 33, 13, , 23, , 
2024/1/1, 51, 7, , 13, , 
2024/1/2, 11, 6, , 10, , 
2024/1/3, 14, 8, , 12, , 
2024/1/4, 16, 16, , 26, , 
2024/1/5, 32, 12, , 21, , 
2024/1/6, 34, 10, , 14, , 
2024/1/7, 41, 10, , 13, , 
2024/1/8, 41, 25, , 14, , 
2024/1/9, 77, 37, , 18, , 
2024/1/10, 97, 39, , 25, , 
2024/1/11, 102, 42, , 25, , 
2024/1/12, 112, 38, , 23, , 
2024/1/13, 94, 36, , 22, , 
2024/1/14, 74, 25, , 22, , 
2024/1/15, 31, 18, , 28, , 
2024/1/16, 33, 17, , 29, , 
2024/1/17, 37, 10, , 21, , 
2024/1/18, 19, 22, , 26, , 
2024/1/19, 57, 32, , 25, , 
2024/1/20, 42, 66, , 31, , 
2024/1/21, 68, 69, , 29, , 
2024/1/22, 43, 17, , 19, , 
2024/1/23, 20, 10, , 12, , 
2024/1/24, 16, 23, , 23, , 
2024/1/25, 38, 13, , 18, , 
2024/1/26, 23, 19, , 27, , 
2024/1/27, 37, 16, , 18, , 
2024/1/28, 43, 38, , 29, , 
2024/1/29, 59, 51, , 33, , 
2024/1/30, 66, 48, , 31, , 
2024/1/31, 63, 27, , 23, , 
2024/2/1, 48, 13, , 19, , 
2024/2/2, 30, 16, , 21, , 
2024/2/3, 29, 13, , 12, , 
2024/2/4, 25, 27, , 18, , 
2024/2/5, 42, 31, , 18, , 
2024/2/6, 50, 16, , 12, , 
2024/2/7, 29, 18, , 17, , 
2024/2/8, 33, 27, , 21, , 
2024/2/9, 53, 24, , 23, , 
2024/2/10, 51, 11, , 15, , 
2024/2/11, 25, 12, , 20, , 
2024/2/12, 22, 19, , 26, , 
2024/2/13, 32, 23, , 27, , 
2024/2/14, 37, 21, , 23, , 
2024/2/15, 34, 25, , 26, , 
2024/2/16, 45, 24, , 19, , 
2024/2/20, 29, 19, , 26, , 
2024/2/21, 27, 17, , 29, , 
2024/2/22, 35, 6, , 20, , 
2024/2/23, 9, 12, , 21, , 
2024/2/24, 16, 11, , 13, , 
2024/2/25, 27, 13, , 19, , 
2024/2/26, 34, 28, , 16, , 
2024/3/1, 41, 22, , 14, , 
2024/3/2, 61, 11, , 22, , 
2024/3/3, 24, 33, , 22, , 
2024/3/4, 63, 30, , 21, , 
2024/3/5, 67, 12, , 22, , 
2024/3/6, 30, 27, , 14, , 
2024/3/7, 68, 19, , 10, , 
2024/3/8, 56, 12, , 16, , 
2024/3/9, 42, 6, , 13, , 
2024/3/19, 38, 16, , 21, , 
2024/3/20, 28, 27, , 28, , 
2024/3/21, 51, 20, , 29, , 
2024/3/22, 44, 11, , 19, , 
2024/3/23, 11, 4, , 9, , 
2024/3/24, 4, 11, , 14, , 
2024/3/25, 15, 17, , 16, , 
2024/3/26, 40, 17, , 20, , 
2024/3/27, 29, 7, , 20, , 
2024/3/28, 10, 34, , 11, , 
2024/3/29, 38, 96, , 13, , 
2024/3/30, 97, 43, , 15, , 
2024/3/31, 48, 7, , 11, , 
2023/10/1, 62, 32, , 25, , 
